item_number,location_no,size_id,value,loc_width,loc_depth,loc_height,case_width,case_length,case_height
64586,C0924-1-3,140212,[New]B1(RSB1),20.00,48.00,48.00,0.0,0.0,0.0
97520,C0510-1-4,140160,[New]CF1(RSB1),15.00,96.00,18.00,0.0,0.0,0.0
90773,F1605-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,14.0,14.7,8.3
90773,F0514-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,14.0,14.7,8.3
90773,F1201-2-3,140463,[New]A1(RSB10),40.00,48.00,60.00,14.0,14.7,8.3
90773,F0526-2-1,140564,[New]DC Stk RSB5,1.00,1.00,1.00,14.0,14.7,8.3
90773,E0609-2-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,14.0,14.7,8.3
83442,E1107-2-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,8.9,18.5,7.9
83442,F1305-5-1,140546,[New]B2a(RSB10),40.00,48.00,30.00,8.9,18.5,7.9
2029232,C5105-1-2,140488,[New]1/3MS RSB5,72.00,24.00,18.00,0.0,0.0,0.0
104430,F0214-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,15.7,12.4,10.7
104430,F0122-2-2,140368,[New]C3a(RSB10),40.00,48.00,18.00,15.7,12.4,10.7
104430,F0105-3-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,15.7,12.4,10.7
104430,E0213-3-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,15.7,12.4,10.7
107152,F0405-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,16.2,10.1,8.4
107152,E0405-2-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,16.2,10.1,8.4
107152,F0514-5-1,140546,[New]B2a(RSB10),40.00,48.00,30.00,16.2,10.1,8.4
107152,E0610-3-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,16.2,10.1,8.4
1826,F0111-3-2,140368,[New]C3a(RSB10),40.00,48.00,18.00,9.6,12.5,9.4
1826,E0411-3-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,9.6,12.5,9.4
15686,F0304-5-1,140403,[New]A2(RSB10),40.00,48.00,48.00,12.2,15.9,8.6
15686,E1609-2-1,140477,[New]D3b(RSB1),45.00,24.00,12.00,12.2,15.9,8.6
86957,D0916-2-2,140403,[New]A2(RSB10),40.00,48.00,48.00,15.7,23.4,6.2
86957,C0613-1-2,33150,[New]E3(RSB1),20.00,30.00,20.00,15.7,23.4,6.2
88224,F0115-3-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,15.3,10.9,6.4
88224,E1104-1-1,140551,[Temp]C3a RSB2,40.00,30.00,18.00,15.3,10.9,6.4
88224,F0416-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,15.3,10.9,6.4
105761,F0702-2-1,140403,[New]A2(RSB10),40.00,48.00,48.00,11.6,20.3,8.3
105761,E0808-1-2,140551,[Temp]C3a RSB2,40.00,30.00,18.00,11.6,20.3,8.3
105761,F1004-2-1,140546,[New]B2a(RSB10),40.00,48.00,30.00,11.6,20.3,8.3
105761,F0620-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,11.6,20.3,8.3
105761,F0822-2-2,140463,[New]A1(RSB10),40.00,48.00,60.00,11.6,20.3,8.3
106593,C0510-3-3,140160,[New]CF1(RSB1),15.00,96.00,18.00,0.0,0.0,0.0
7917,F0421-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,20.3,13.5,7.6
7917,E0220-1-1,140551,[Temp]C3a RSB2,40.00,30.00,18.00,20.3,13.5,7.6
7917,F1207-2-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,20.3,13.5,7.6
94169,F0412-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,23.0,8.9,8.0
94169,F0614-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,23.0,8.9,8.0
94169,F0109-3-2,140368,[New]C3a(RSB10),40.00,48.00,18.00,23.0,8.9,8.0
94169,E0412-1-1,140551,[Temp]C3a RSB2,40.00,30.00,18.00,23.0,8.9,8.0
94776,F0811-2-1,140403,[New]A2(RSB10),40.00,48.00,48.00,10.2,17.5,7.4
94776,F0829-4-2,140511,[New]A2(RSB5),40.00,48.00,48.00,10.2,17.5,7.4
94776,F0927-3-2,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0924-2-1,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0926-3-2,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0928-3-2,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0928-2-1,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0929-2-2,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0928-3-1,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0928-2-2,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0929-3-2,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0929-3-1,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0925-3-1,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0929-2-1,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0925-3-2,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
94776,F0927-3-1,140512,[New]A3(RSB5),40.00,48.00,42.00,10.2,17.5,7.4
